=== UPSTREAM (Nhà quảng cáo) ===
Upstream_ID,Upstream_Name,Status,AdTypes,AdOrder_Count,AdSite_Count,DailyInput_Count
1,"圣乐游-sly-sm",active,"SM",2,8,84
2,"响云- BB-sm",active,"SM",2,6,37
3,"百战-BZ-sm",active,"SM",2,5,48
4,"刘佳-LJ-sm",active,"SM",1,2,13
5,"圣乐游-iqiyi",active,"IQIYI",2,1,0
6,"响云-360",active,"360",1,1,0
8,"圣乐游-千问",active,"OTHER",1,5,38
9,"百战-千问",active,"OTHER",1,3,38
10,"星汉灿烂-sm",inactive,"SM",0,0,0
11,"懿利-sm",inactive,"SM",0,0,0
12,"大白-sm",inactive,"SM",0,0,0
13,"旺翔-bd",inactive,"BAIDU",0,0,0
14,"响云-千问",active,"OTHER",1,1,4
15,"罗强-抖音",active,"DOUYIN",1,5,23

=== ADORDER (Đơn hàng quảng cáo) ===
AdOrder_ID,AdOrder_Name,Upstream_ID,Upstream_Name,AdType,Status,AdSite_Count,DailyInput_Count
1,"sm",1,"圣乐游-sly-sm",SM,active,4,33
8,"other",1,"圣乐游-sly-sm",OTHER,active,4,51
2,"sm",2,"响云- BB-sm",OTHER,active,0,0
12,"sm",2,"响云- BB-sm",SM,active,6,37
3,"sm",3,"百战-BZ-sm",SM,active,5,48
9,"other",3,"百战-BZ-sm",OTHER,active,0,0
4,"sm",4,"刘佳-LJ-sm",SM,active,2,13
5,"iqiyi",5,"圣乐游-iqiyi",IQIYI,active,1,0
6,"投放链接1",5,"圣乐游-iqiyi",IQIYI,active,0,0
7,"360",6,"响云-360",360,active,1,0
11,"other",8,"圣乐游-千问",OTHER,active,5,38
10,"other",9,"百战-千问",OTHER,active,3,38
13,"千问",14,"响云-千问",OTHER,active,1,4
14,"抖音",15,"罗强-抖音",DOUYIN,active,5,23

=== ADSITE (Vị trí quảng cáo) ===
AdSite_ID,AdSite_Name,Upstream_ID,Upstream_Name,AdOrder_ID,AdOrder_Name,BillingMethod,Status,DailyInput_Count
11,"367(818476)",1,"圣乐游-sly-sm",1,"sm",CPM,active,11
12,"400(644377)",1,"圣乐游-sly-sm",1,"sm",CPM,active,10
1,"342(869576)",1,"圣乐游-sly-sm",1,"sm",CPM,inactive,0
28,"26 (104828)",1,"圣乐游-sly-sm",1,"sm",CPM,active,12
18,"aikit",1,"圣乐游-sly-sm",8,"other",CPA,active,14
20,"aibot",1,"圣乐游-sly-sm",8,"other",CPA,active,14
21,"qwenBookmark5",1,"圣乐游-sly-sm",8,"other",CPM,active,11
22,"qwenEleven1",1,"圣乐游-sly-sm",8,"other",CPM,active,12
26,"xx200(883240)",2,"响云- BB-sm",12,"sm",CPM,active,0
27,"007(550790)",2,"响云- BB-sm",12,"sm",CPM,active,10
29,"xx198(459310)",2,"响云- BB-sm",12,"sm",CPM,active,4
30,"xx199(072174)",2,"响云- BB-sm",12,"sm",CPM,active,4
2,"xx142(223171)",2,"响云- BB-sm",12,"sm",CPM,active,14
31,"bjxy000(096221)",2,"响云- BB-sm",12,"sm",CPM,active,5
3,"bz4(875120)",3,"百战-BZ-sm",3,"sm",CPM,active,14
4,"bz13(589356)",3,"百战-BZ-sm",3,"sm",CPM,active,14
5,"bz14(483051)",3,"百战-BZ-sm",3,"sm",CPM,active,14
33,"gy010(286242)",3,"百战-BZ-sm",3,"sm",CPM,active,3
32,"gy009(914660)",3,"百战-BZ-sm",3,"sm",CPM,active,3
6,"551(170055)",4,"刘佳-LJ-sm",4,"sm",CPM,inactive,2
7,"581(640209)",4,"刘佳-LJ-sm",4,"sm",CPM,active,11
8,"https://www.iqiyi.com?vfm=f_701_ks2&fv=b5b135eff21f9f9b",5,"圣乐游-iqiyi",5,"iqiyi",CPM,active,0
9,"716",6,"响云-360",7,"360",RATIO,active,0
23,"qwalff1",8,"圣乐游-千问",11,"other",CPM,inactive,2
10,"pcsoft",8,"圣乐游-千问",11,"other",CPA,active,4
19,"yipoo",8,"圣乐游-千问",11,"other",CPA,active,4
16,"aigc",8,"圣乐游-千问",11,"other",CPA,active,14
17,"aitab",8,"圣乐游-千问",11,"other",CPA,active,14
14,"goqwenjie",9,"百战-千问",10,"other",CPM,active,15
15,"qw19",9,"百战-千问",10,"other",CPM,active,12
13,"2902",9,"百战-千问",10,"other",CPA,active,11
24,"movetab",14,"响云-千问",13,"千问",CPA,active,4
25,"fhym64",15,"罗强-抖音",14,"抖音",CPM,active,6
34,"douyin_a",15,"罗强-抖音",14,"抖音",CPM,active,4
35,"douyin_b",15,"罗强-抖音",14,"抖音",CPM,active,4
36,"douyin_d",15,"罗强-抖音",14,"抖音",CPM,active,4
37,"type=b",15,"罗强-抖音",14,"抖音",CPM,active,5
